protein,length,shape
Q9H9L3,353,353x112
Q9H9P8,463,463x112
Q9H9T3,547,547x112
Q9H9Y6,1135,1135x112
Q9HA77,564,564x112
Q9HAU5,1272,1272x112
Q9HAV4,1204,1204x112
Q9HAV7,217,217x112
Q9HB07,376,376x112
Q9HB40,452,452x112
Q9HB71,228,228x112
Q9HBH0,211,211x112
Q9HBL7,147,147x112
Q9HBL8,299,299x112
Q9HBM1,224,224x112
Q9HC07,324,324x112
Q9HC21,320,320x112
Q9HC35,981,981x112
Q9HC36,420,420x112
Q9HC38,313,313x112
Q9HC98,313,313x112
Q9HCC0,563,563x112
Q9HCD5,579,579x112
Q9HCE1,1003,1003x112
Q9HCF6,1732,1732x112
Q9HCL2,828,828x112
Q9HCS7,855,855x112
Q9HCU5,417,417x112
Q9HD26,462,462x112
Q9HD33,250,250x112
Q9HD34,91,91x112
Q9HD45,589,589x112
Q9HD67,2058,2058x112
Q9HDC9,416,416x112
Q9NP58,842,842x112
Q9NP66,347,347x112
Q9NP79,307,307x112
Q9NP80,782,782x112
Q9NPA3,183,183x112
Q9NPA8,101,101x112
Q9NPE3,64,64x112
Q9NPF5,467,467x112
Q9NPF8,381,381x112
Q9NPJ6,270,270x112
Q9NPL8,285,285x112
Q9NPQ8,531,531x112
Q9NQ55,473,473x112
Q9NQ88,270,270x112
Q9NQC3,1192,1192x112
Q9NQG5,326,326x112
Q9NQL2,400,400x112
Q9NQP4,134,134x112
Q9NQR4,276,276x112
Q9NQS7,918,918x112
Q9NQT4,235,235x112
Q9NQV7,894,894x112
Q9NQW6,1124,1124x112
Q9NQW7,623,623x112
Q9NQX3,736,736x112
Q9NQZ2,479,479x112
Q9NR12,457,457x112
Q9NR19,701,701x112
Q9NR28,239,239x112
Q9NR30,783,783x112
Q9NR31,198,198x112
Q9NR33,117,117x112
Q9NR45,359,359x112
Q9NR46,395,395x112
Q9NR50,452,452x112
Q9NR56,388,388x112
Q9NRD1,293,293x112
Q9NRF9,147,147x112
Q9NRG0,131,131x112
Q9NRG1,225,225x112
Q9NRG4,433,433x112
Q9NRH2,765,765x112
Q9NRK6,738,738x112
Q9NRL2,1556,1556x112
Q9NRN7,309,309x112
Q9NRN9,209,209x112
Q9NRS6,342,342x112
Q9NRV9,189,189x112
Q9NRW7,570,570x112
Q9NRX2,175,175x112
Q9NRX4,125,125x112
Q9NRY2,104,104x112
Q9NRZ9,838,838x112
Q9NS87,1388,1388x112
Q9NS91,495,495x112
Q9NS93,570,570x112
Q9NSD9,589,589x112
Q9NSE4,1012,1012x112
Q9NSI2,230,230x112
Q9NSV4,1193,1193x112
Q9NT62,314,314x112
Q9NTI5,1447,1447x112
Q9NTJ3,1288,1288x112
Q9NTJ5,587,587x112
Q9NTK5,396,396x112
Q9NTM9,273,273x112
Q9NTZ6,932,932x112
Q9NUL3,570,570x112
Q9NUM4,274,274x112
Q9NUP9,197,197x112
Q9NUQ2,364,364x112
Q9NUQ8,709,709x112
Q9NUQ9,324,324x112
Q9NV06,445,445x112
Q9NV70,894,894x112
Q9NVC6,651,651x112
Q9NVD7,372,372x112
Q9NVE7,773,773x112
Q9NVG8,400,400x112
Q9NVH1,559,559x112
Q9NVH2,962,962x112
Q9NVI1,1328,1328x112
Q9NVM4,692,692x112
Q9NVM6,304,304x112
Q9NVM9,706,706x112
Q9NVN3,520,520x112
Q9NVN8,582,582x112
Q9NVP1,670,670x112
Q9NVQ4,179,179x112
Q9NVS2,196,196x112
Q9NVT9,282,282x112
Q9NVU0,708,708x112
Q9NVU7,687,687x112
Q9NVV4,582,582x112
Q9NVX2,485,485x112
Q9NW08,1133,1133x112
Q9NW13,759,759x112
Q9NW64,420,420x112
Q9NW68,430,430x112
Q9NW81,257,257x112
Q9NW82,654,654x112
Q9NWB6,273,273x112
Q9NWH9,1034,1034x112
Q9NWS8,449,449x112
Q9NWS9,450,450x112
Q9NWT1,392,392x112
Q9NWV4,160,160x112
Q9NX01,149,149x112
Q9NX18,166,166x112
Q9NX40,245,245x112
Q9NX58,379,379x112
Q9NX61,479,479x112
Q9NX62,359,359x112
Q9NX63,227,227x112
Q9NXC5,875,875x112
Q9NXE4,866,866x112
Q9NXF1,929,929x112
Q9NXG2,353,353x112
Q9NXH9,659,659x112
Q9NXR1,335,335x112
Q9NY12,217,217x112
Q9NY27,417,417x112
Q9NY33,737,737x112
Q9NY61,560,560x112
Q9NY74,926,926x112
Q9NY93,547,547x112
Q9NYB9,513,513x112
Q9NYF8,920,920x112
Q9NYH9,597,597x112
Q9NYK5,338,338x112
Q9NYL9,352,352x112
Q9NYP7,299,299x112
Q9NYU2,1555,1555x112
Q9NZ01,308,308x112
Q9NZ09,502,502x112
Q9NZ32,417,417x112
Q9NZ43,259,259x112
Q9NZ52,723,723x112
Q9NZ63,289,289x112
Q9NZD2,209,209x112
Q9NZD8,308,308x112
Q9NZE8,188,188x112
Q9NZL9,334,334x112
Q9NZM1,2061,2061x112
Q9NZM3,1697,1697x112
Q9NZM5,478,478x112
Q9NZN4,543,543x112
Q9NZN5,1544,1544x112
Q9NZN8,540,540x112
Q9NZW5,540,540x112
Q9NZZ3,219,219x112
Q9P000,198,198x112
Q9P013,229,229x112
Q9P016,225,225x112
Q9P021,101,101x112
Q9P0B6,97,97x112
Q9P0I2,261,261x112
Q9P0J0,144,144x112
Q9P0J7,381,381x112
Q9P0K7,980,980x112
Q9P0L0,249,249x112
Q9P0M6,372,372x112
Q9P0M9,148,148x112
Q9P0P8,240,240x112
Q9P0S2,106,106x112
Q9P0U3,644,644x112
Q9P0V3,963,963x112
Q9P0V9,454,454x112
Q9P1Y5,1249,1249x112
Q9P1Z2,691,691x112
Q9P219,2028,2028x112
Q9P253,973,973x112
Q9P258,522,522x112
Q9P260,1216,1216x112
Q9P287,314,314x112
Q9P2B4,639,639x112
Q9P2E3,1918,1918x112
Q9P2E9,1410,1410x112
Q9P2I0,782,782x112
Q9P2J5,1176,1176x112
Q9P2K3,495,495x112
Q9P2N5,1060,1060x112
Q9P2N7,655,655x112
Q9P2R3,1169,1169x112
Q9P2R7,463,463x112
Q9P2S5,460,460x112
Q9P2W9,335,335x112
Q9UBB4,475,475x112
Q9UBB5,411,411x112
Q9UBB9,837,837x112
Q9UBC1,381,381x112
Q9UBC2,864,864x112
Q9UBD5,711,711x112
Q9UBE0,346,346x112
Q9UBF8,816,816x112
Q9UBH6,696,696x112
Q9UBI1,195,195x112
Q9UBI6,72,72x112
Q9UBL3,628,628x112
Q9UBM7,475,475x112
Q9UBP0,616,616x112
Q9UBP9,304,304x112
Q9UBR2,303,303x112
Q9UBS3,223,223x112
Q9UBS4,358,358x112
Q9UBS8,474,474x112
Q9UBT2,640,640x112
Q9UBT7,734,734x112
Q9UBU8,362,362x112
Q9UBU9,619,619x112
Q9UBV2,794,794x112
Q9UBW5,565,565x112
Q9UBW8,275,275x112
Q9UBX3,287,287x112
Q9UBX8,382,382x112
Q9UDY2,1190,1190x112
Q9UDY8,824,824x112
Q9UEE9,299,299x112
Q9UER7,740,740x112
Q9UEW8,545,545x112
Q9UG63,623,623x112
Q9UGC7,380,380x112
Q9UGI8,421,421x112
Q9UGI9,489,489x112
Q9UGJ1,667,667x112
Q9UGM6,360,360x112
Q9UGN5,583,583x112
Q9UGP4,676,676x112
Q9UGP8,760,760x112
Q9UGR2,977,977x112
Q9UGV2,375,375x112
Q9UH65,585,585x112
Q9UHA3,163,163x112
Q9UHB6,759,759x112
Q9UHB9,627,627x112
Q9UHD1,332,332x112
Q9UHD2,729,729x112
Q9UHD8,586,586x112
Q9UHD9,624,624x112
Q9UHG3,505,505x112
Q9UHI6,824,824x112
Q9UHN1,485,485x112
Q9UHQ9,305,305x112
Q9UHR4,511,511x112
Q9UHV9,154,154x112
Q9UHW5,284,284x112
Q9UHW9,1150,1150x112
Q9UHY1,535,535x112
Q9UHY7,261,261x112
Q9UI09,145,145x112
Q9UI10,523,523x112
Q9UI12,483,483x112
Q9UIA9,1087,1087x112
Q9UIG0,1483,1483x112
Q9UII2,106,106x112
Q9UIQ6,1025,1025x112
Q9UJ83,578,578x112
Q9UJA5,497,497x112
Q9UJC3,728,728x112
Q9UJU6,430,430x112
Q9UJV9,622,622x112
Q9UJX2,597,597x112
Q9UJX6,822,822x112
Q9UJY1,196,196x112
Q9UJZ1,356,356x112
Q9UK32,745,745x112
Q9UK41,221,221x112
Q9UK45,103,103x112
Q9UK59,544,544x112
Q9UK61,1670,1670x112
Q9UK76,154,154x112
Q9UKA4,1901,1901x112
Q9UKD1,530,530x112
Q9UKD2,239,239x112
Q9UKK3,1724,1724x112
Q9UKK6,140,140x112
Q9UKK9,219,219x112
Q9UKN8,822,822x112
Q9UKV3,1341,1341x112
Q9UKX7,468,468x112
Q9UKY7,258,258x112
Q9UKZ1,510,510x112
Q9UL03,887,887x112
Q9UL25,225,225x112
Q9UL46,239,239x112
Q9UL63,735,735x112
Q9ULC3,237,237x112
Q9ULC4,181,181x112
Q9ULD2,1270,1270x112
Q9ULD9,1512,1512x112
Q9ULG6,757,757x112
Q9ULH0,1771,1771x112
Q9ULI2,386,386x112
Q9ULJ8,1098,1098x112
Q9ULR0,285,285x112
Q9ULT8,2610,2610x112
Q9ULW0,747,747x112
Q9ULW6,460,460x112
Q9ULX3,412,412x112
Q9ULX6,646,646x112
Q9UMR2,479,479x112
Q9UMS4,504,504x112
Q9UMX5,172,172x112
Q9UMY1,257,257x112
Q9UMZ2,1314,1314x112
Q9UN86,482,482x112
Q9UNE7,303,303x112
Q9UNF0,486,486x112
Q9UNH7,406,406x112
Q9UNI6,340,340x112
Q9UNK0,236,236x112
Q9UNL2,185,185x112
Q9UNM6,376,376x112
Q9UNN5,650,650x112
Q9UNN8,238,238x112
Q9UNQ2,313,313x112
Q9UNS2,423,423x112
Q9UNX4,943,943x112
Q9UNY4,1162,1162x112
Q9UNZ2,370,370x112
Q9UNZ5,99,99x112
Q9UPN4,1083,1083x112
Q9UPN6,1271,1271x112
Q9UPN9,1127,1127x112
Q9UPP2,1182,1182x112
Q9UPQ0,1083,1083x112
Q9UPR0,1127,1127x112
Q9UPT5,735,735x112
Q9UPT9,525,525x112
Q9UPU5,2620,2620x112
Q9UQ13,582,582x112
Q9UQ80,394,394x112
Q9UQB3,1225,1225x112
Q9UQB8,552,552x112
Q9UQE7,1217,1217x112
Q9UQN3,213,213x112
Q9Y217,621,621x112
Q9Y221,180,180x112
Q9Y223,722,722x112
Q9Y224,244,244x112
Q9Y230,463,463x112
Q9Y237,131,131x112
Q9Y248,185,185x112
Q9Y255,219,219x112
Q9Y262,564,564x112
Q9Y263,795,795x112
Q9Y266,331,331x112
Q9Y282,383,383x112
Q9Y285,508,508x112
Q9Y294,204,204x112
Q9Y295,367,367x112
Q9Y2A7,1128,1128x112
Q9Y2B0,182,182x112
Q9Y2B1,443,443x112
Q9Y2C4,368,368x112
Q9Y2D4,811,811x112
Q9Y2G5,429,429x112
Q9Y2H2,1132,1132x112
Q9Y2H6,1198,1198x112
Q9Y2J2,1087,1087x112
Q9Y2K9,1186,1186x112
Q9Y2L1,958,958x112
Q9Y2Q9,187,187x112
Q9Y2R9,242,242x112
Q9Y2S7,368,368x112
Q9Y2T2,418,418x112
Q9Y2T3,454,454x112
Q9Y2V2,147,147x112
Q9Y2W1,955,955x112
Q9Y2W2,641,641x112
Q9Y2W6,561,561x112
Q9Y2X0,877,877x112
Q9Y2X3,529,529x112
Q9Y2X7,761,761x112
Q9Y2Z0,365,365x112
Q9Y305,439,439x112
Q9Y312,384,384x112
Q9Y314,301,301x112
Q9Y316,297,297x112
Q9Y324,198,198x112
Q9Y333,95,95x112
Q9Y375,327,327x112
Q9Y376,341,341x112
Q9Y383,392,392x112
Q9Y394,339,339x112
Q9Y399,296,296x112
Q9Y3A2,253,253x112
Q9Y3A3,225,225x112
Q9Y3A4,280,280x112
Q9Y3A5,250,250x112
Q9Y3B2,195,195x112
Q9Y3B3,224,224x112
Q9Y3B4,125,125x112
Q9Y3B7,192,192x112
Q9Y3B8,237,237x112
Q9Y3B9,282,282x112
Q9Y3C0,194,194x112
Q9Y3C1,178,178x112
Q9Y3C8,167,167x112
Q9Y3D0,163,163x112
Q9Y3D3,137,137x112
Q9Y3D6,152,152x112
Q9Y3D7,125,125x112
Q9Y3D8,172,172x112
Q9Y3D9,190,190x112
Q9Y3F4,350,350x112
Q9Y3I0,505,505x112
Q9Y3P9,1069,1069x112
Q9Y3T9,749,749x112
Q9Y3U8,105,105x112
Q9Y3Y2,248,248x112
Q9Y3Z3,626,626x112
Q9Y446,797,797x112
Q9Y448,316,316x112
Q9Y450,684,684x112
Q9Y466,385,385x112
Q9Y4B5,1905,1905x112
Q9Y4C2,921,921x112
Q9Y4C8,960,960x112
Q9Y4E8,981,981x112
Q9Y4F1,1045,1045x112
Q9Y4G6,2542,2542x112
Q9Y4I1,1855,1855x112
Q9Y4L1,999,999x112
Q9Y4P3,447,447x112
Q9Y4P8,454,454x112
Q9Y4W2,734,734x112
Q9Y4W6,797,797x112
Q9Y4X5,557,557x112
Q9Y4Y9,91,91x112
Q9Y4Z0,139,139x112
Q9Y508,228,228x112
Q9Y512,469,469x112
Q9Y570,386,386x112
Q9Y597,815,815x112
Q9Y5A7,615,615x112
Q9Y5B6,917,917x112
Q9Y5B9,1047,1047x112
Q9Y5J1,556,556x112
Q9Y5K5,329,329x112
Q9Y5K6,639,639x112
Q9Y5L0,923,923x112
Q9Y5M8,271,271x112
Q9Y5N6,252,252x112
Q9Y5P4,624,624x112
Q9Y5Q0,445,445x112
Q9Y5Q8,519,519x112
Q9Y5Q9,886,886x112
Q9Y5T5,823,823x112
Q9Y5V0,76,76x112
Q9Y5W8,968,968x112
Q9Y5Y0,555,555x112
Q9Y606,427,427x112
Q9Y608,721,721x112
Q9Y617,370,370x112
Q9Y673,324,324x112
Q9Y676,258,258x112
Q9Y678,874,874x112
Q9Y696,253,253x112
Q9Y6A5,838,838x112
Q9Y6C9,303,303x112
Q9Y6D6,1849,1849x112
Q9Y6D9,718,718x112
Q9Y6E0,443,443x112
Q9Y6G3,142,142x112
Q9Y6G9,523,523x112
Q9Y6K5,1087,1087x112
Q9Y6K9,419,419x112
Q9Y6M1,599,599x112
Q9Y6M7,1214,1214x112
Q9Y6M9,179,179x112
Q9Y6R0,609,609x112
Q9Y6U3,715,715x112
Q9Y6V7,483,483x112
Q9Y6W5,498,498x112
Q9Y6X1,66,66x112
Q9Y6X9,1032,1032x112
Q9Y6Y0,642,642x112
Q9Y6Y8,1000,1000x112
